credit_card_id,customer_id,credit_card_number,credit_limit,balance
50,48,4893560461460046,3938.34,1229.67
51,89,0853194340182670,3896.65,22.95
52,81,4602902216223653,2213.1,3131.69
53,74,7700733581266560,4064.15,2993.62
54,88,2713188778482912,4729.76,2603.92
55,98,1144700826333230,2935.35,4753.4
56,18,3062550924887670,2064.52,1163.89
57,62,9062864085932852,4285.45,1821.35
58,76,3355374111996754,2134.1,1523.63
59,75,4689128744566681,3893.97,4475.0
60,21,0259411464908178,2641.2,4726.24
61,97,9435114153264176,4774.31,3155.61
62,18,7961184231318409,4517.02,1105.6
63,93,9708661043301592,3166.05,1848.26
64,50,4287510490155124,2843.59,1240.6
65,46,6695391492791098,4754.09,1857.6
66,88,2107686667697115,3027.43,3257.64
67,40,0160895566512224,1562.78,1539.26
68,98,1223386422245247,1845.13,4703.62
69,69,6314844283038843,2335.82,714.63
70,27,9048312143052101,2207.63,3212.46
71,2,0264936399359884,1943.56,292.36
72,4,2127629506010119,1393.8,2985.85
73,25,6382781516564698,2960.18,3893.33
74,90,5596030597846840,4277.32,3805.11
75,36,3756695179336810,4278.56,1723.04
76,68,4823944469512207,1734.64,4046.3
77,7,8264449410460650,4381.03,4298.82
78,40,8073113179025307,3326.06,4031.77
79,44,3671679988260085,1702.32,4255.33
80,48,3111484445665735,1213.37,4431.47
81,23,7587601876083646,2503.78,2684.51
82,95,9815452378387933,4827.96,223.35
83,38,1674685808620899,4581.44,537.63
84,96,8915914180490981,3139.51,1534.69
85,70,3329298023072459,2408.22,1205.77
86,55,2690446695120328,4439.66,2412.13
87,42,0725645341002298,1758.39,680.75
88,69,2292243506958905,3537.44,4522.64
89,7,4690979757203987,3206.8,971.73
90,1,9796720066191663,3781.64,285.62
91,10,1840010334741821,4295.6,4124.56
92,92,0730037787948830,1282.17,1529.02
93,84,9221687370456040,2543.22,1363.28
94,27,7624941915491681,3265.27,2144.16
95,80,2156323532384436,4168.65,3557.4
96,66,9594494390587996,2304.58,2649.52
97,22,4776610304183379,1048.38,351.68
98,41,0150675549759951,4828.27,3758.14
99,8,7221424475678468,2513.33,3821.23
100,15,6086781765330207,2873.21,4832.45
101,11,0072568413818255,2591.26,3383.01
102,86,8096052861973534,4164.81,2177.14
103,14,7216895174203908,2437.73,1842.67
104,5,0595652402029246,2502.01,2370.67
105,52,9980620871018028,4645.88,3814.89
106,91,5538449846440187,4906.4,1159.02
107,88,7951127332558936,1819.47,4788.17
108,45,3902536746628400,4860.71,1599.66
109,3,6179725379077452,1386.77,4813.09
110,29,1519635150848153,1389.98,1115.53
111,35,0193726327003801,1964.47,4421.41
112,53,0044437761000008,4640.47,3134.55
113,21,1294655327357392,4571.61,4080.87
114,44,5885871758079795,2451.27,4286.31
115,51,1690217263080794,1818.01,3240.83
116,61,8467585058878475,4526.45,4512.88
117,73,8875351044870442,3456.55,1885.94
118,88,4814716176753739,1484.46,3131.65
119,77,6047662764857448,4598.68,3355.89
120,28,7151843465691508,3401.14,1564.95
121,78,1338423637735286,2676.27,3497.18
122,58,1172822879140717,3066.59,2723.74
123,61,0434352854493015,4123.39,1014.09
124,75,2694349893148048,1373.03,66.02
125,78,1710332619946294,4041.94,4293.82
126,21,6364154491056422,1713.39,811.66
127,66,3219067597196285,4978.83,824.9
128,28,2714732246440670,1395.43,2644.0
129,41,7190978776727642,3745.49,1297.16
130,12,6299420905212057,4497.31,4381.82
131,92,6705454769743798,2142.0,3915.04
132,32,6096857205207314,1786.58,350.29
133,62,0836127068897471,3431.53,477.96
134,77,5096698879722038,1581.68,2592.64
135,91,1931452697412263,3892.22,4413.73
136,64,0282804562822994,4409.39,1455.86
137,53,1124855849336224,3706.38,1958.59
138,63,7693825608141696,1597.95,4788.62
139,29,9910270641803019,4504.41,642.79
140,90,6201643667785886,1137.02,4837.39
141,71,1336804242018386,2654.01,2940.12
142,55,2834873366011541,3968.92,2741.94
143,91,4095978972960152,3836.48,2373.47
144,75,5652799984606393,2285.33,1794.52
145,39,9097511767120152,3854.17,566.93
146,45,2558376546558047,4941.08,94.0
147,53,5793999788312631,4270.75,4135.25
148,99,2287321153173914,2557.86,2737.2
149,76,4811836749651032,4646.07,999.64
150,22,6859108552828144,2261.97,1551.96
151,34,1984873199640287,3960.64,2670.98
152,93,9227984857922128,1639.77,1061.14
153,90,7034924636900594,2128.84,4927.41
154,30,6954940184376603,4270.47,3078.78
155,86,0677869553938157,3062.03,3614.6
156,90,7890181829135932,1407.5,1432.61
157,24,2756097473603745,4347.67,1340.44
158,5,2944648222382868,1573.2,4718.93
159,4,2970021336048012,4647.35,1163.48
160,6,8242346978993304,3450.2,2341.18
161,20,2285298711760899,1950.66,2963.8
162,59,8256539630679471,1060.55,3380.71
163,18,5603603651733537,2839.06,3186.95
164,42,5922965156993462,3907.71,3088.7
165,83,2815001631940867,3018.39,2248.49
166,36,2761819216929401,3607.79,1965.22
167,40,8843194924074697,1017.29,1190.13
168,9,8688334332092162,1063.79,259.98
169,94,4378843949590438,2176.86,90.51
170,84,4424336722262076,1256.6,2695.51
171,4,7934967680791131,3177.13,4261.2
172,9,7275582405477314,4457.19,4943.36
173,15,5664224899020695,4850.27,2657.33
174,72,2048144143111512,2160.03,1539.59
175,79,6047793653946375,3413.72,451.59
176,14,5412174118018164,4988.23,1042.68
177,78,6642787716107173,2755.08,376.85
178,94,2200469490935306,2539.92,4224.94
179,3,3815326253627672,2719.21,2798.67
180,95,4010679286099099,3623.82,4038.12
181,81,4842053907962844,4745.24,3662.26
182,73,6073067203348802,4179.72,2348.63
183,32,2144082413729645,3403.56,2428.08
184,82,6821539976963015,3981.79,2812.77
185,18,1908578306136710,3405.46,3246.54
186,6,4574272791798914,3457.2,4804.05
187,57,0005407412366621,1689.79,615.01
188,46,9898181775037381,2874.05,4416.43
189,92,6009710357871237,2684.9,360.97
190,87,7523441596439411,4843.41,484.72
191,90,0888927100320541,3496.69,133.09
192,46,9867549056409687,4765.59,3478.85
193,52,9067687502335487,4388.18,2382.71
194,31,2724428626449179,1451.43,1303.89
195,43,6160356419406705,3416.75,685.48
196,1,9250043531509854,1336.96,2637.5
197,26,6086731462900710,3952.2,4092.9
198,36,7056917248718384,3270.35,3083.81
199,80,3635661739406595,3808.91,1041.69
200,35,1188459888149823,4907.25,1100.08
201,26,3788065299676161,4514.48,3912.54
202,87,5314097810747288,1046.0,448.28
203,74,6360339824398423,3749.22,1841.22
204,19,7245320355068810,3625.15,1074.55
205,27,4462284273852528,3090.11,4455.77
206,30,5165934237287768,4521.01,3821.85
207,49,2532147051338852,2616.43,2740.57
208,13,1077229333723083,2327.08,442.82
209,50,0788647141538221,2815.4,630.75
210,5,2616988216640400,2841.21,3317.78
211,49,2010146678227873,2841.93,3894.11
212,95,8310833363325046,1805.76,2627.99
213,82,2402071348862550,3428.65,3050.64
214,26,0303980740173469,1929.09,1307.17
215,15,6101476846228213,3991.7,4745.21
216,39,9396233944394638,1715.96,1483.27
217,56,6031692430995657,1658.12,1310.63
218,48,5609984841941055,1395.94,3583.93
219,61,6796231652423808,1870.72,1392.46
220,16,6529616860944393,3887.36,3816.59
221,22,1788501174534037,3793.61,1323.75
222,86,3247521079260846,3357.58,948.91
223,22,9041130132546124,3368.56,1170.57
224,48,9621459394220170,3814.05,3239.24
225,77,2332430196698438,3848.02,289.04
226,54,9768542254629556,4470.69,3567.14
227,19,1420170470769703,3979.67,3219.43
228,23,5498963856229512,3057.8,3494.5
229,72,7149980980445206,4143.98,2473.69
230,91,0643411572555605,3847.66,2709.38
231,47,7089177359532761,2331.86,645.23
232,25,8419049267568461,1721.27,75.19
233,14,7341951056664923,4774.97,1382.91
234,28,1620185930931028,4317.24,2825.85
235,68,5984867490635274,2148.34,3502.01
236,100,5196122053854306,2819.42,77.08
237,41,0180145997146062,4496.15,1689.35
238,94,5278938977529495,3751.28,28.09
239,41,2341131715615885,1646.54,2177.85
240,100,7657924252547396,1706.7,4362.13
241,78,8751440018000955,2475.27,1402.4
242,71,9150678554660196,4879.33,138.62
243,47,8527758362297169,3671.4,889.36
244,11,7692374912439027,4084.22,3191.85
245,95,7240411210302252,3073.2,3578.28
246,77,2406721903166613,3401.11,3162.4
247,24,5735262547947965,3392.39,436.72
248,33,9073708941660062,3749.48,1670.66
249,39,6626413165034666,4313.71,104.22
250,39,2510671988284017,4985.58,2194.82
251,93,9407225042309086,4491.88,4415.56
252,76,2169216087029013,3189.54,4782.57
253,16,2319888222205516,3684.99,4817.64
254,9,8671783431536088,4011.2,4306.15
255,29,5864085213824733,3570.59,4105.2
256,58,2533544640090347,4266.32,1110.0
257,23,0364094256505595,4394.15,1765.12
258,36,7040091506317772,2254.06,2767.64
259,41,2505102896568886,2858.14,3149.5
260,20,1516986754357769,1960.27,2911.65
261,61,9774939562116094,4319.12,3534.55
262,55,9481820981504267,4830.53,1998.56
263,82,5572280418890341,4997.07,957.44
264,97,1216372445538596,2474.77,4056.42
265,70,8477012125711872,3038.05,1705.29
266,100,2627585465924188,4049.69,4700.62
267,13,5496317350637146,2273.28,4606.53
268,5,0552909466955340,1585.23,3055.25
269,71,1944092721734667,1670.49,2487.35
270,74,3085971311444778,2181.33,4670.17
271,69,2506069825873361,4683.25,396.81
272,47,8482905120424553,3754.08,1738.36
273,40,9629508986098986,1654.82,843.77
274,12,6827855472052875,3963.06,4510.64
275,68,8741160612953728,4975.4,3205.68
276,12,5355124336828463,1075.56,1640.74
277,11,8436068578172848,2969.88,1424.37
278,96,0142360461694024,2954.55,4342.23
279,22,3680818719463474,4307.92,572.67
280,69,5882942729772403,3685.19,2113.38
281,72,0189495569274123,3966.75,764.08
282,59,7698989618110824,2553.08,1325.84
283,95,0174463499398018,3863.82,1632.25
284,33,4026218356173322,3380.21,4091.12
285,31,3906374981239830,2330.0,4389.22
286,60,3482454534945231,4562.59,3114.13
287,22,2301790568847365,2461.35,2115.83
288,26,2783723324555036,2453.07,3327.01
289,23,1803562576394731,2497.75,1647.36
290,60,2966965644305478,2066.7,2548.94
291,89,2746012675709444,3057.59,995.45
292,36,0303872467328181,1748.08,1001.53
293,57,7268589076545920,2525.76,1890.01
294,77,3874965264312932,2542.04,4683.23
295,80,1543949073394492,3973.94,2580.7
296,80,3718692286087914,1258.28,2145.2
297,70,9433673719163127,3739.98,2063.95
298,76,3302802123622322,2108.06,445.1
299,64,6831890883289113,3552.34,3645.99
300,47,7301666020188843,2240.13,3138.14
301,87,3228303510399777,4416.72,2687.77
302,82,3657414193113817,3154.53,353.7
303,1,3366166630358367,3095.58,4795.16
304,99,1504315618514426,3350.74,1330.65
305,49,0901533514740228,1675.57,4234.56
306,45,4041604717280833,2656.3,3227.97
307,88,6768146043455224,2848.54,4351.14
308,30,1778470271235708,1989.5,4101.45
309,42,3732953420746353,4418.3,4018.04
310,34,0637333764180534,3141.02,2998.92
311,7,4798439493747069,3733.37,1239.55
312,20,7988592201742550,4211.99,4064.05
313,74,3205026083070650,4671.56,4778.33
314,63,7347826096685065,2216.15,4312.11
315,73,6885051605916983,4364.61,3391.64
316,27,0160374202628090,1944.23,932.66
317,48,9234012477809313,1633.42,4542.64
318,62,7719302765977056,2381.95,1908.89
319,60,2395601585696231,4349.53,4008.43
320,54,5034164338810775,3115.5,4533.6
321,44,3756542985093910,1625.66,141.69
322,35,6196734495222329,1960.82,573.31
323,45,7995888961861172,3995.14,2576.65
324,1,0188127429283561,2919.7,1691.31
325,51,9905408622029766,3297.74,481.63
326,16,7696160166850045,2508.85,3581.4
327,11,4222589777247978,3643.66,3670.11
328,50,9492765330931415,1071.08,29.83
329,50,9343161603394326,3191.22,1580.1
330,87,3756212080969628,2005.62,4016.03
331,83,0161403855005021,4389.59,1612.2
332,73,8053444797081043,2716.15,1817.53
333,98,6518572724803705,3576.02,4810.11
334,63,7767506956315197,1322.78,1823.98
335,71,7841360086807832,3244.3,1127.45
336,53,8196993551312691,2035.57,478.24
337,66,7244908797254341,3022.27,4013.01
338,1,3411652281883143,2998.01,2608.49
339,70,4106938541484742,3998.0,2619.53
340,15,8135510145031056,1383.63,1776.15
341,23,1390063643832060,1771.05,1343.8
342,57,5560093029852223,4855.1,4611.19
343,22,7801121116265311,1707.21,1698.87
344,78,5060802169673089,4815.43,3283.27
345,5,4188913469755528,4416.27,3811.88
346,21,4751239123547234,1014.84,1180.41
347,90,4090170504017803,1366.62,4384.77
348,12,7796064786000122,4075.91,1208.74
349,28,2865135586939327,1870.74,2984.12
350,82,6930513496281584,3638.56,3385.47
351,32,0287986667712856,4193.51,2073.51
352,88,7544122395075483,4774.22,570.27
353,68,5769800288986873,4926.74,4837.18
354,13,3745889121394553,4380.49,226.68
355,29,0123581107591935,4498.05,3929.26
356,85,2692015643638596,4520.21,2428.9
357,23,7964814374690574,3334.5,3687.31
358,74,8106393186052401,2580.85,2566.74
359,21,6655596181634154,2676.34,932.44
360,8,0848271600546148,1751.46,3831.01
361,7,7980373455725525,4684.32,4346.76
362,62,8954545213150228,4067.83,2828.08
363,62,4456920959729115,2195.21,3101.27
364,36,6889505935867127,3179.66,3249.46
365,90,9782407360963371,1221.68,4411.69
366,91,0067346931594766,4885.02,781.27
367,56,6271639785612327,4302.04,1370.71
368,84,7925159145693105,3721.61,2135.83
369,98,1556284129024603,3421.46,1567.69
370,41,0889936244962950,3922.53,2395.33
371,67,2971986310149211,2732.7,3484.46
372,63,5888099705398380,1986.02,3006.46
373,18,7058697600434711,4207.15,4344.08
374,36,8586380726176720,4249.23,1007.58
375,18,8124450609336217,1543.33,184.85
376,32,5076561780392570,2617.63,1809.32
377,23,1019952503882264,3655.21,1175.89
378,55,0817313348014476,1274.05,4411.04
379,7,8929298100037729,1321.54,474.37
380,29,8762048613041856,3107.73,601.41
381,61,4084706422925221,2038.11,466.62
382,64,8493538169231740,3773.32,124.47
383,55,7372908254143076,3830.24,513.34
384,67,4742871180324904,2994.82,1936.19
385,94,8256226632920828,1211.83,4210.53
386,54,7365847088290891,4334.89,3322.94
387,40,0117786842114632,1413.94,1342.31
388,60,2481193014063335,1655.77,2343.12
389,92,5293276250959075,4744.59,3292.76
390,56,2587263758894120,2444.33,1215.03
391,36,4260524253717906,4691.52,4252.45
392,55,2942566546730424,3845.76,124.14
393,63,1242180615416396,2201.04,4001.5
394,47,9261603175813221,3990.97,4254.81
395,10,7651083113858062,2426.3,2058.93
396,28,8808871075761339,3632.58,4030.2
397,32,1903156263414351,3949.99,3475.5
398,48,1275795675838292,3307.11,2238.56
399,86,0892847080116711,4173.98,1287.81
400,52,7493485732487573,3830.06,2734.26
401,24,6767518065642059,4502.67,4529.06
402,14,6680658753662809,1552.1,2874.74
403,11,3375015948712386,3687.54,3555.44
404,82,3577178658517999,2929.7,347.74
405,77,7687924041485785,1492.0,4864.92
406,84,4021953664020965,2670.94,4706.02
407,35,3030227878394830,1248.69,800.46
408,33,5829842316136482,3647.61,4945.14
409,94,7449881407298160,1769.14,2991.93
410,76,4403926244153220,3289.49,4821.83
411,23,4161531218721269,2875.72,129.56
412,79,2423188610290491,4890.51,996.06
413,71,6398988526393415,4562.95,529.78
414,91,2006711874121708,1272.53,4465.08
415,10,0892112570549508,4978.55,1838.29
416,36,0730863375907959,3917.38,671.99
417,52,5514946445903253,1612.24,4140.45
418,19,4523791658993494,2475.63,1179.06
419,83,4045282121704730,3274.98,3503.68
420,85,1370467214778625,1007.61,8.76
421,62,3704038025821826,2189.26,256.2
422,63,8178686039024382,4953.21,4581.89
423,34,6985267231238198,3558.0,1304.57
424,20,9934154219181730,1740.53,2289.58
425,37,9961471504454580,2788.2,895.15
426,26,0411032044743270,1944.15,4315.63
427,96,9722260344072150,3204.8,4863.99
428,38,7818260667575034,4995.28,4551.95
429,22,2086945116408817,1685.15,2977.52
430,67,7813440298718011,1424.7,1725.01
431,92,1308135698259903,4839.66,56.44
432,51,9542365057072413,3921.99,2699.95
433,18,4525149602973845,4519.27,939.46
434,82,0535282426122072,1819.51,1868.43
435,56,6218973081837719,3096.4,3816.03
436,2,9134762976747057,4763.83,2191.61
437,12,7569830968426471,2734.76,1712.07
438,96,6261050535904673,4466.07,1522.24
439,10,8592946392772170,3102.02,3107.51
440,25,2616575257592968,2231.28,4532.84
441,11,9859910237419886,1374.53,1783.59
442,4,9690114416709561,1602.93,4552.66
443,20,8723872599940168,3102.48,1909.96
444,2,9955536147653328,1292.53,651.68
445,1,6077299935181585,2936.44,3814.48
446,88,5115238214892840,1449.09,4695.08
447,33,6826982202932302,3507.13,4847.78
448,88,2009280131793612,1193.89,2701.63
449,86,7712591600842822,1822.94,1484.65
450,87,5251829452341616,3510.14,548.93
451,80,7183759972436241,4162.63,4620.59
452,89,5213528555282324,1596.2,4647.32
453,24,5202340589007043,1123.72,4944.93
454,51,9065318052310831,1292.5,1871.2
455,99,4776007656346952,1775.82,3031.42
456,27,3010607932290154,2669.41,3149.43
457,4,4937576778685362,2853.37,3692.53
458,23,7863081359554896,4342.28,685.38
459,23,5340452967948632,4216.55,1862.71
460,25,6793681935676861,1495.52,792.08
461,57,5694303735859952,2927.36,445.23
462,74,7004331497511499,4117.35,2852.47
463,5,8604033787010282,2955.05,2714.95
464,10,5359737141543972,4096.2,4499.4
465,86,2686840588467163,4425.7,1532.63
466,99,6722760482228701,1099.39,3368.84
467,25,0633463409164624,3527.16,4923.14
468,65,8100263268023383,4828.27,3950.43
469,19,5530999909567606,2052.11,2376.36
470,5,3483495015830665,3078.89,102.19
471,55,0079597271617818,4089.37,1286.74
472,56,1373630954556971,4749.5,1975.77
473,46,4613688650747009,1427.92,2910.15
474,3,7433658426095459,4217.31,1349.63
475,66,8931867907304886,2286.12,3759.37
476,38,0119982101646594,3521.12,1255.45
477,39,0320037904782926,2288.7,2168.93
478,16,2294367288210366,2018.9,3188.73
479,12,9878862011197084,4584.15,747.09
480,81,4248571412823769,1228.06,2929.14
481,53,5853862360939286,4215.84,3627.69
482,95,8642817945844233,1633.14,2561.8
483,31,2375797248224669,4592.27,1237.28
484,88,8052070171630367,1335.74,2617.26
485,13,3981721529953077,4825.63,2549.34
486,42,6216828821281673,2047.1,3039.65
487,70,6709003044474355,4904.19,902.44
488,22,2524593094954501,2442.78,299.72
489,75,1373612595570206,2085.73,3787.62
490,74,5673906575513620,3444.91,2308.43
491,97,9565851962599415,1866.88,1715.04
492,77,7628802624603905,1786.82,566.08
493,95,1231489494047030,1147.57,112.98
494,95,1376469244141460,4576.28,4773.11
495,51,2985439284704866,4611.13,4271.58
496,81,0943882303568064,3273.85,2453.07
497,57,6649697091192302,4145.8,1558.77
498,60,4165898012623210,4613.86,187.84
499,38,5419243128728070,3095.27,3142.33
500,71,9675640768278624,2126.72,3613.51
501,3,2983873062865394,2446.77,4847.61
502,18,4252349764830385,2195.32,3899.91
503,95,9696274649513501,3828.22,1550.75
504,95,0129926088571363,4015.13,2089.02
505,68,2144074270601745,1921.84,3590.1
506,83,1857678696014250,1516.96,1093.1
507,32,9676399440730194,1125.01,875.76
508,42,6657972241331922,2877.02,1924.33
509,36,5928372103224012,1036.85,2247.77
510,50,2012899241793200,4093.1,2918.05
511,54,1174940740926903,1180.62,3825.1
512,14,3403077222194900,1596.49,2792.98
513,42,2232675993033895,2629.02,456.23
514,97,9415234979993312,3422.85,1872.5
515,48,4202400203233731,1502.11,1278.24
516,54,9919793856435063,4029.3,2818.35
517,47,3782233957007695,4880.01,2350.79
518,63,0717447350637017,2016.58,875.49
519,16,1802065328339142,4750.5,2179.26
520,82,5014232678760209,2327.57,3914.55
521,90,7817788251587173,4416.85,599.65
522,94,3490435788303359,4825.53,3635.86
523,8,3672659460580969,3701.3,828.97
524,13,5459537862387827,2206.53,1316.87
525,78,2747126364288421,2707.48,4384.56
526,41,0802155747875964,1316.66,552.34
527,14,8977213163295045,1838.65,4178.76
528,85,5424353799844054,2441.33,1558.6
529,90,9487016781826740,4315.3,1717.65
530,38,5260893600882139,1758.29,1939.29
531,87,4641453893887155,3587.95,2618.94
532,22,4894394640012470,4711.89,1806.25
533,20,3417257589245467,4638.08,3599.63
534,16,4132607877468134,1577.72,2129.65
535,88,5967096367981850,4556.07,1730.21
536,14,5548479437516046,4304.46,4372.69
537,74,1779942301593181,1065.24,2674.94
538,78,3750319317097687,2672.71,808.29
539,78,1496975744342346,4629.53,1820.74
540,88,1253327862381433,2272.84,3242.04
541,53,7204940191862768,1799.16,1588.09
542,55,2531930955279354,2032.32,1626.39
543,84,4591012192981026,2470.03,4986.54
544,89,6169114776389697,4545.18,3380.8
545,2,7025076462044481,4055.48,513.88
546,5,6931643224000109,4700.17,202.81
547,63,7674143223981343,2820.76,1840.03
548,70,0796916249333231,3257.92,5.09
549,23,3075126655354216,3739.19,2823.0
550,72,5947739615003153,3284.91,3259.26
551,89,4545161239082441,2611.18,4152.14
552,43,3561744652766569,2628.85,969.08
553,51,7089195811279949,4016.81,4114.25
554,10,3982979276435283,3566.01,2740.92
555,12,0870416281780056,2184.05,3147.76
556,5,9803847351696625,3327.92,1513.12
557,24,9378033971590582,2027.79,4220.32
558,17,3191239593924639,4525.07,3016.82
559,45,7766054508597142,4963.42,4842.36
560,31,8009020598224739,2490.6,2853.39
561,1,4233386786926612,1622.85,496.67
562,19,2003500738230778,4130.08,1212.59
563,72,9074925723450423,2701.73,664.24
564,77,0217231491925827,2467.06,3572.86
565,5,9275258829246630,3793.67,3315.15
566,13,0912798406436685,1165.83,3427.64
567,69,5432660455184702,4898.11,633.62
568,50,7046625309483827,1467.17,3377.15
569,61,2721665325277749,2094.83,3519.01
570,32,3982940573855474,1182.34,3476.72
571,30,9864858498057724,1075.56,2791.5
572,62,3788811196144324,4596.8,4276.85
573,9,6835654794016919,3386.93,3586.67
574,44,0371276022871131,3413.52,148.14
575,60,8148814395389969,3587.05,3184.69
576,60,2712941576189079,1707.82,273.38
577,2,2801515136957635,2533.5,3981.68
578,48,5645151533749413,2883.11,798.13
579,96,0025605296166165,3836.58,1834.95
580,49,3036359818834851,3408.79,1539.15
581,69,2817044072530371,2696.32,4297.19
582,99,7142778063918533,4197.62,4314.63
583,73,7180571653642599,1100.18,2762.43
584,64,6710481132824770,2612.17,171.58
585,64,8459078323010962,2061.3,4196.52
586,84,7263373547787860,2162.55,956.28
587,66,1716709815023955,3819.09,3793.9
588,71,3525594573513932,1218.76,589.18
589,43,6673318102141415,4122.32,3316.29
590,20,6056218491730392,4497.84,1765.55
591,1,8188112007117605,3890.28,1066.25
592,18,3916705314034902,2109.99,2165.28
593,48,6028591227686526,2812.45,4636.53
594,32,4975434136780164,4945.09,3557.96
595,28,6257102156243013,4321.51,382.75
596,79,2892587135130236,2037.25,1643.86
597,81,5769930768559284,2630.63,4936.81
598,42,6860191691772057,4900.99,3038.47
599,54,2152141090086841,4754.22,335.19
600,63,4029667923004979,1758.39,3546.16
601,56,3068608474664781,4256.76,4605.09
602,10,8375188777304176,1217.18,1939.42
603,90,6435100712011534,4567.48,3301.92
604,29,2452091442204209,2606.6,319.6
605,18,9173370669346155,3950.88,3569.98
606,16,0384953580045521,3142.7,2878.88
607,14,5943492785201646,3853.57,1834.72
608,61,7463360475195735,4489.88,4358.11
609,25,1701795991975431,3964.65,1413.93
610,86,8818901165200072,1369.08,4262.04
611,95,7851263706487423,1771.22,2160.58
612,55,4833021972316044,1455.1,3046.97
613,79,9969728931517840,2161.08,3648.43
614,66,0367475143076368,2273.65,1817.85
615,4,0815878045212026,4840.68,1596.59
616,55,3859721400884917,2365.52,1886.15
617,37,9167954825260867,2273.35,2580.83
618,17,4250583373093719,2819.66,4671.88
619,54,1649820813129280,2955.82,370.5
620,66,1604897482286979,1357.09,4886.68
621,17,9039850660338243,3189.78,1063.26
622,36,5962857396467036,1864.14,731.51
623,92,7743865560210493,2953.11,3218.85
624,91,2092079444255518,1479.14,4772.55
625,79,9357703772180578,1335.55,1905.84
626,35,9396656694233018,2891.97,2955.99
627,36,0716939769437826,1186.76,3087.69
628,80,5951871716979903,1706.88,126.07
629,13,1669442677217986,3138.64,4434.47
630,72,7217363040825071,4768.46,3914.43
631,21,0074062642318168,3000.37,842.29
632,69,4239700612285609,2604.68,3320.94
633,76,3787881828427043,4525.97,4460.2
634,85,6272753846660413,1046.82,654.18
635,38,9414804722867680,2620.28,871.32
636,77,4013389196808628,4568.1,326.04
637,52,2989900137492041,4033.86,828.75
638,24,1252147768046577,3375.15,785.38
639,97,8333254413225548,4117.83,4055.21
640,58,9959156995088465,1447.55,3763.58
641,99,8367635928995725,4816.02,607.41
642,94,2575404927596496,3550.49,4533.28
643,100,2396025823151524,3612.77,4722.93
644,25,3535075497605331,4407.43,3465.13
645,1,0998865218971873,3636.07,4158.18
646,82,1220396515833498,2729.39,231.33
647,31,3782481687446268,1655.01,183.53
648,67,2741858762376807,1127.23,1878.69
649,55,7245338742979930,3472.78,1784.81
650,82,8838897836458797,3879.07,1378.69
651,90,6216610475066579,4553.17,3569.01
652,8,5066170078075002,1927.15,2851.64
653,53,7192742955045850,2703.22,3591.7
654,39,5383291792738628,2761.42,3738.56
655,75,2349078232883331,2843.06,1395.03
656,81,3866523348497608,3970.62,4573.23
657,32,5918949401287246,1077.46,1723.74
658,5,1920122887410749,3535.81,4191.94
659,23,6436265048012946,1360.85,1265.47
660,30,8455346747527601,1353.52,107.49
661,12,7100708713149673,1886.76,3748.45
662,15,1324845637041757,3076.82,3092.86
663,98,7367338854323489,2158.43,4242.6
664,27,5826171231124567,1586.65,4795.07
665,13,3456589564364658,4234.4,4306.05
666,46,8915415308837660,3960.9,1877.98
667,38,4381855059546585,1445.65,690.42
668,69,3142512384483838,4144.74,3250.92
669,76,3681446995265101,2073.71,1201.1
670,11,5188228969478720,1183.76,4743.08
